Entity,Childhood vaccination policy
Afghanistan,No source found
Albania,Mandatory
Algeria,No source found
American Samoa,No source found
Andorra,Mandatory
Angola,No source found
Anguilla,Mandatory
Antigua and Barbuda,Mandatory
Argentina,Mandatory
Armenia,Recommended
Australia,Recommended
Austria,Recommended
Azerbaijan,Mandatory
Bahamas,Mandatory
Bahrain,No source found
Bangladesh,Recommended
Barbados,Mandatory
Belarus,Recommended
Belgium,Mandatory
Belize,Mandatory
Benin,No source found
Bermuda,Recommended
Bhutan,Mandatory
Bolivia,Recommended
Bosnia and Herzegovina,Mandatory
Botswana,No source found
Brazil,Mandatory
British Virgin Islands,Mandatory
Brunei,Mandatory
Bulgaria,Mandatory
Burkina Faso,No source found
Burundi,No source found
Cambodia,No source found
Cameroon,No source found
Canada,Recommended
Cape Verde,No source found
Central African Republic,No source found
Chad,No source found
Chile,Mandatory
China,Recommended
Colombia,Mandatory for School Entry
Comoros,No source found
Congo,No source found
Costa Rica,Mandatory
Cote d'Ivoire,No source found
Croatia,Mandatory
Cuba,Mandatory
Cyprus,Mandatory for School Entry
Czechia,Mandatory
Democratic Republic of Congo,No source found
Denmark,Recommended
Djibouti,No source found
Dominica,Mandatory for School Entry
Dominican Republic,No source found
East Timor,No source found
Ecuador,Mandatory
Egypt,Mandatory
El Salvador,Mandatory
Equatorial Guinea,No source found
Eritrea,No source found
Estonia,Recommended
Eswatini,No source found
Ethiopia,Mandatory
Fiji,No source found
Finland,Recommended
France,Mandatory
French Guiana,Mandatory
French Polynesia,Mandatory
Gabon,Mandatory
Gambia,No source found
Georgia,Recommended
Germany,Mandatory for School Entry
Ghana,No source found
Greece,Mandatory for School Entry
Grenada,Mandatory for School Entry
Guam,Mandatory
Guatemala,Mandatory
Guinea,No source found
Guinea-Bissau,No source found
Guyana,Mandatory for School Entry
Haiti,No source found
Honduras,Mandatory for School Entry
Hungary,Mandatory
Iceland,Recommended
India,Recommended
Indonesia,Mandatory
Iran,Mandatory
Iraq,Mandatory for School Entry
Ireland,Recommended
Israel,Recommended
Italy,Mandatory
Jamaica,Mandatory
Japan,Recommended
Jordan,Mandatory
Kazakhstan,Mandatory
Kenya,Recommended
Kiribati,No source found
Kosovo,Mandatory
Kuwait,Mandatory
Kyrgyzstan,Mandatory for School Entry
Laos,No source found
Latvia,Mandatory
Lebanon,Mandatory
Lesotho,Mandatory
Liberia,Mandatory
Libya,Mandatory
Liechtenstein,Recommended
Lithuania,Recommended
Luxembourg,Recommended
Madagascar,No source found
Malawi,No source found
Malaysia,Recommended
Maldives,Mandatory for School Entry
Mali,Mandatory
Malta,Mandatory
Marshall Islands,Mandatory
Mauritania,No source found
Mauritius,No source found
Mayotte,Mandatory
Mexico,Mandatory
Micronesia (country),Mandatory
Moldova,Mandatory for School Entry
Monaco,Mandatory
Mongolia,Mandatory
Montenegro,Mandatory
Morocco,No source found
Mozambique,No source found
Myanmar,No source found
Namibia,No source found
Nepal,Mandatory
Netherlands,Recommended
New Caledonia,Mandatory
New Zealand,Recommended
Nicaragua,Mandatory
Niger,No source found
Nigeria,Mandatory
Niue,No source found
North Korea,No source found
North Macedonia,Mandatory
Norway,Recommended
Oman,Mandatory
Pakistan,Mandatory
Palau,Mandatory
Panama,Mandatory
Papua New Guinea,No source found
Paraguay,Mandatory for School Entry
Peru,Mandatory
Philippines,Mandatory
Poland,Mandatory
Portugal,Recommended
Puerto Rico,Mandatory
Qatar,Mandatory
Romania,Recommended
Russia,Recommended
Rwanda,No source found
Saint Kitts and Nevis,Mandatory for School Entry
Saint Lucia,No source found
Saint Vincent and the Grenadines,Mandatory for School Entry
Samoa,Mandatory
San Marino,Mandatory
Sao Tome and Principe,No source found
Saudi Arabia,Mandatory
Senegal,No source found
Serbia,Mandatory
Seychelles,No source found
Sierra Leone,No source found
Singapore,Mandatory
Sint Eustatius,Recommended
Slovakia,Mandatory
Slovenia,Mandatory
Solomon Islands,No source found
Somalia,Mandatory
South Africa,No source found
South Korea,Mandatory
South Sudan,No source found
Spain,Recommended
Sri Lanka,No source found
Sudan,No source found
Suriname,Mandatory
Sweden,Recommended
Switzerland,Recommended
Syria,Mandatory
Taiwan,Mandatory
Tajikistan,Mandatory
Tanzania,No source found
Thailand,No source found
Togo,No source found
Trinidad and Tobago,Mandatory
Tunisia,Mandatory
Turkey,Recommended
Turkmenistan,Mandatory
Uganda,Mandatory
Ukraine,Mandatory
United Arab Emirates,Mandatory for School Entry
United Kingdom,Recommended
United States,Mandatory for School Entry
United States Virgin Islands,Mandatory for School Entry
Uruguay,Mandatory
Uzbekistan,Mandatory
Venezuela,Mandatory
Vietnam,Mandatory
Yemen,No source found
Zambia,No source found
Zimbabwe,No source found
