Entity,Code,Year,Childhood vaccination policy
Afghanistan,AFG,2019,No source found
Albania,ALB,2019,Mandatory
Algeria,DZA,2019,No source found
American Samoa,ASM,2019,No source found
Andorra,AND,2019,Mandatory
Angola,AGO,2019,No source found
Anguilla,AIA,2019,Mandatory
Antigua and Barbuda,ATG,2019,Mandatory
Argentina,ARG,2019,Mandatory
Armenia,ARM,2019,Recommended
Australia,AUS,2019,Recommended
Austria,AUT,2019,Recommended
Azerbaijan,AZE,2019,Mandatory
Bahamas,BHS,2019,Mandatory
Bahrain,BHR,2019,No source found
Bangladesh,BGD,2019,Recommended
Barbados,BRB,2019,Mandatory
Belarus,BLR,2019,Recommended
Belgium,BEL,2019,Mandatory
Belize,BLZ,2019,Mandatory
Benin,BEN,2019,No source found
Bermuda,BMU,2019,Recommended
Bhutan,BTN,2019,Mandatory
Bolivia,BOL,2019,Recommended
Bosnia and Herzegovina,BIH,2019,Mandatory
Botswana,BWA,2019,No source found
Brazil,BRA,2019,Mandatory
British Virgin Islands,VGB,2019,Mandatory
Brunei,BRN,2019,Mandatory
Bulgaria,BGR,2019,Mandatory
Burkina Faso,BFA,2019,No source found
Burundi,BDI,2019,No source found
Cambodia,KHM,2019,No source found
Cameroon,CMR,2019,No source found
Canada,CAN,2019,Recommended
Cape Verde,CPV,2019,No source found
Central African Republic,CAF,2019,No source found
Chad,TCD,2019,No source found
Chile,CHL,2019,Mandatory
China,CHN,2019,Recommended
Colombia,COL,2019,Mandatory for School Entry
Comoros,COM,2019,No source found
Congo,COG,2019,No source found
Costa Rica,CRI,2019,Mandatory
Cote d'Ivoire,CIV,2019,No source found
Croatia,HRV,2019,Mandatory
Cuba,CUB,2019,Mandatory
Cyprus,CYP,2019,Mandatory for School Entry
Czechia,CZE,2019,Mandatory
Democratic Republic of Congo,COD,2019,No source found
Denmark,DNK,2019,Recommended
Djibouti,DJI,2019,No source found
Dominica,DMA,2019,Mandatory for School Entry
Dominican Republic,DOM,2019,No source found
East Timor,TLS,2019,No source found
Ecuador,ECU,2019,Mandatory
Egypt,EGY,2019,Mandatory
El Salvador,SLV,2019,Mandatory
Equatorial Guinea,GNQ,2019,No source found
Eritrea,ERI,2019,No source found
Estonia,EST,2019,Recommended
Eswatini,SWZ,2019,No source found
Ethiopia,ETH,2019,Mandatory
Fiji,FJI,2019,No source found
Finland,FIN,2019,Recommended
France,FRA,2019,Mandatory
French Guiana,GUF,2019,Mandatory
French Polynesia,PYF,2019,Mandatory
Gabon,GAB,2019,Mandatory
Gambia,GMB,2019,No source found
Georgia,GEO,2019,Recommended
Germany,DEU,2019,Mandatory for School Entry
Ghana,GHA,2019,No source found
Greece,GRC,2019,Mandatory for School Entry
Grenada,GRD,2019,Mandatory for School Entry
Guam,GUM,2019,Mandatory
Guatemala,GTM,2019,Mandatory
Guinea,GIN,2019,No source found
Guinea-Bissau,GNB,2019,No source found
Guyana,GUY,2019,Mandatory for School Entry
Haiti,HTI,2019,No source found
Honduras,HND,2019,Mandatory for School Entry
Hungary,HUN,2019,Mandatory
Iceland,ISL,2019,Recommended
India,IND,2019,Recommended
Indonesia,IDN,2019,Mandatory
Iran,IRN,2019,Mandatory
Iraq,IRQ,2019,Mandatory for School Entry
Ireland,IRL,2019,Recommended
Israel,ISR,2019,Recommended
Italy,ITA,2019,Mandatory
Jamaica,JAM,2019,Mandatory
Japan,JPN,2019,Recommended
Jordan,JOR,2019,Mandatory
Kazakhstan,KAZ,2019,Mandatory
Kenya,KEN,2019,Recommended
Kiribati,KIR,2019,No source found
Kosovo,OWID_KOS,2019,Mandatory
Kuwait,KWT,2019,Mandatory
Kyrgyzstan,KGZ,2019,Mandatory for School Entry
Laos,LAO,2019,No source found
Latvia,LVA,2019,Mandatory
Lebanon,LBN,2019,Mandatory
Lesotho,LSO,2019,Mandatory
Liberia,LBR,2019,Mandatory
Libya,LBY,2019,Mandatory
Liechtenstein,LIE,2019,Recommended
Lithuania,LTU,2019,Recommended
Luxembourg,LUX,2019,Recommended
Madagascar,MDG,2019,No source found
Malawi,MWI,2019,No source found
Malaysia,MYS,2019,Recommended
Maldives,MDV,2019,Mandatory for School Entry
Mali,MLI,2019,Mandatory
Malta,MLT,2019,Mandatory
Marshall Islands,MHL,2019,Mandatory
Mauritania,MRT,2019,No source found
Mauritius,MUS,2019,No source found
Mayotte,MYT,2019,Mandatory
Mexico,MEX,2019,Mandatory
Micronesia (country),FSM,2019,Mandatory
Moldova,MDA,2019,Mandatory for School Entry
Monaco,MCO,2019,Mandatory
Mongolia,MNG,2019,Mandatory
Montenegro,MNE,2019,Mandatory
Morocco,MAR,2019,No source found
Mozambique,MOZ,2019,No source found
Myanmar,MMR,2019,No source found
Namibia,NAM,2019,No source found
Nepal,NPL,2019,Mandatory
Netherlands,NLD,2019,Recommended
New Caledonia,NCL,2019,Mandatory
New Zealand,NZL,2019,Recommended
Nicaragua,NIC,2019,Mandatory
Niger,NER,2019,No source found
Nigeria,NGA,2019,Mandatory
Niue,NIU,2019,No source found
North Korea,PRK,2019,No source found
North Macedonia,MKD,2019,Mandatory
Norway,NOR,2019,Recommended
Oman,OMN,2019,Mandatory
Pakistan,PAK,2019,Mandatory
Palau,PLW,2019,Mandatory
Panama,PAN,2019,Mandatory
Papua New Guinea,PNG,2019,No source found
Paraguay,PRY,2019,Mandatory for School Entry
Peru,PER,2019,Mandatory
Philippines,PHL,2019,Mandatory
Poland,POL,2019,Mandatory
Portugal,PRT,2019,Recommended
Puerto Rico,PRI,2019,Mandatory
Qatar,QAT,2019,Mandatory
Romania,ROU,2019,Recommended
Russia,RUS,2019,Recommended
Rwanda,RWA,2019,No source found
Saint Kitts and Nevis,KNA,2019,Mandatory for School Entry
Saint Lucia,LCA,2019,No source found
Saint Vincent and the Grenadines,VCT,2019,Mandatory for School Entry
Samoa,WSM,2019,Mandatory
San Marino,SMR,2019,Mandatory
Sao Tome and Principe,STP,2019,No source found
Saudi Arabia,SAU,2019,Mandatory
Senegal,SEN,2019,No source found
Serbia,SRB,2019,Mandatory
Seychelles,SYC,2019,No source found
Sierra Leone,SLE,2019,No source found
Singapore,SGP,2019,Mandatory
Sint Eustatius,,2019,Recommended
Slovakia,SVK,2019,Mandatory
Slovenia,SVN,2019,Mandatory
Solomon Islands,SLB,2019,No source found
Somalia,SOM,2019,Mandatory
South Africa,ZAF,2019,No source found
South Korea,KOR,2019,Mandatory
South Sudan,SSD,2019,No source found
Spain,ESP,2019,Recommended
Sri Lanka,LKA,2019,No source found
Sudan,SDN,2019,No source found
Suriname,SUR,2019,Mandatory
Sweden,SWE,2019,Recommended
Switzerland,CHE,2019,Recommended
Syria,SYR,2019,Mandatory
Taiwan,TWN,2019,Mandatory
Tajikistan,TJK,2019,Mandatory
Tanzania,TZA,2019,No source found
Thailand,THA,2019,No source found
Togo,TGO,2019,No source found
Trinidad and Tobago,TTO,2019,Mandatory
Tunisia,TUN,2019,Mandatory
Turkey,TUR,2019,Recommended
Turkmenistan,TKM,2019,Mandatory
Uganda,UGA,2019,Mandatory
Ukraine,UKR,2019,Mandatory
United Arab Emirates,ARE,2019,Mandatory for School Entry
United Kingdom,GBR,2019,Recommended
United States,USA,2019,Mandatory for School Entry
United States Virgin Islands,VIR,2019,Mandatory for School Entry
Uruguay,URY,2019,Mandatory
Uzbekistan,UZB,2019,Mandatory
Venezuela,VEN,2019,Mandatory
Vietnam,VNM,2019,Mandatory
Yemen,YEM,2019,No source found
Zambia,ZMB,2019,No source found
Zimbabwe,ZWE,2019,No source found
