name;year;BCG (% of one-year-olds immunized);HepB3 (% of one-year-olds immunized);Hib3 (% of one-year-olds immunized);IPV1 (% of one-year-olds immunized);MCV1 (% of one-year-olds immunized);PCV3 (% of one-year-olds immunized);Pol3 (% of one-year-olds immunized);RCV1 (% of one-year-olds immunized);RotaC (% of one-year-olds immunized);YFV (% of one-year-olds immunized);DTP3 (% of one-year-olds immunized)
Afghanistan;1980;;;;;11;;;;;;4
Albania;1980;93;;;;90;;92;;;;94
Antigua and Barbuda;1980;;;;;;;36;;;;54
Argentina;1980;62;;;;61;;33;;;;44
Australia;1980;;;;;;;17;;;;33
Austria;1980;90;;;;;;90;;;;90
Bahamas;1980;;;;;;;35;;;;36
Bahrain;1980;;;;;45;;72;45;;;72
Barbados;1980;;;;;41;;99;;;;60
Belgium;1980;;;;;;;99;;;;95
Belize;1980;71;;;;21;;44;;;;47
Bhutan;1980;43;;;;21;;4;;;;6
Bolivia;1980;30;;;;13;;14;;;;11
Botswana;1980;92;;;;63;;46;;;;71
Brazil;1980;56;;;;57;;69;;;;37
Brunei;1980;99;;;;73;;89;;;;89
Bulgaria;1980;99;;;;98;;99;;;;98
Central African Republic;1980;17;;;;12;;13;;;;13
Chile;1980;96;;;;94;;93;;;;93
Colombia;1980;45;;;;13;;16;;;;16
Congo;1980;92;;;;49;;42;;;;42
Cook Islands;1980;29;;;;;;39;;;;40
Costa Rica;1980;80;;;;60;;86;;;;86
Cuba;1980;99;;;;48;;99;;;;67
Cyprus;1980;;;;;29;;35;29;;;34
Democratic Republic of Congo;1980;57;;;;18;;15;;;;
Denmark;1980;;;;;;;99;;;;88
Dominica;1980;65;;;;;;53;;;;63
Dominican Republic;1980;29;;;;30;;46;;;;36
Ecuador;1980;76;;;;24;;19;;;;10
Egypt;1980;50;;;;41;;67;;;;57
El Salvador;1980;56;;;;45;;42;;;;44
Ethiopia;1980;;;;;4;;3;;;;
Fiji;1980;95;;;;32;;55;;;;68
Finland;1980;90;;;;;;90;;;;92
France;1980;80;;;;;;80;;;;79
Gambia;1980;85;;;;69;;53;;;;63
Germany;1980;;;;;25;;80;;;;
Ghana;1980;;;;;16;;7;;;;7
Greece;1980;95;;;;;;90;;;;72
Grenada;1980;;;;;;;32;;;;25
Guatemala;1980;36;;;;23;;43;;;;43
Guyana;1980;68;;;;;;42;;;;35
Haiti;1980;;;;;;;8;;;;3
Honduras;1980;25;;;;31;;31;;;;28
Hungary;1980;99;;;;99;;98;;;;99
Iceland;1980;;;;;;;99;;;;99
India;1980;;;;;;;2;;;;6
Indonesia;1980;61;;;;;;;;;;
Iran;1980;7;;;;39;;38;;;;32
Iraq;1980;76;;;;9;;16;;;;14
Ireland;1980;;;;;;;72;;;;34
Israel;1980;75;;;;81;;85;;;;84
Jamaica;1980;38;;;;;;34;;;;24
Japan;1980;;;;;69;;;;;;60
Jordan;1980;;;;;29;;32;;;;30
Kiribati;1980;66;;;;;;10;;;;43
Kuwait;1980;;;;;48;;70;;;;67
Lesotho;1980;81;;;;49;;56;;;;56
Libya;1980;88;;;;61;;60;;;;60
Madagascar;1980;21;;;;;;;;;;
Malawi;1980;;;;;49;;28;;;;58
Malaysia;1980;94;;;;;;67;;;;67
Maldives;1980;7;;;;;;4;;;;4
Mauritius;1980;89;;;;;;90;;;;89
Mexico;1980;48;;;;35;;91;;;;44
Mongolia;1980;51;;;;17;;86;;;;76
Myanmar;1980;9;;;;;;;;;;4
Nepal;1980;22;;;;;;;;;;8
Netherlands;1980;;;;;91;;96;91;;;96
New Zealand;1980;;;;;80;;;80;;;76
Nicaragua;1980;34;;;;15;;21;;;;16
Niue;1980;85;;;;77;;76;77;;;7
North Korea;1980;50;;;;29;;50;;;;50
Oman;1980;51;;;;22;;18;;;;18
Pakistan;1980;6;;;;1;;2;;;;2
Panama;1980;99;;;;71;;70;;;;47
Papua New Guinea;1980;62;;;;;;29;;;;32
Paraguay;1980;31;;;;19;;14;;;;17
Peru;1980;57;;;;23;;16;;;;16
Philippines;1980;56;;;;;;50;;;;47
Poland;1980;93;;;;92;;96;;;;96
Portugal;1980;;;;;54;;18;;;;73
Qatar;1980;4;;;;26;;61;;;;61
