Local,Ano,BCG,Hib3,DTP3,Saneamento Seguro (%),Numero Total de Imigrantes,Gini (Indice de Desigualdade no Pais),Populacao,Taxa de Extrema Pobreza (%),Numero de Usuario de Internet,Numero de Casos de Infeccoes Respiratorios e Tuberculose
Albania,2016,99,98,98,43.811172,51387,29,2926348,0.39,1717114,630167
Albania,2017,99,99,99,46.064865,50743,29,2930187,0.32,1796721,618968
Albania,2018,99,99,99,48.34123,50098,29,2934363,0.26,1881570,608014
Albania,2019,99,99,99,50.48372,49454,29,2938428,0.21,1970058,597996
Albania,2020,98,98,98,52.580948,48810,29,2942034,0.17,2071012,645950
Algeria,2016,99,91,91,62.42451,241654,28,40606052,0.47,17323937,6010033
Algeria,2017,99,91,91,62.4296,243835,28,41318142,0.43,19618454,5986300
Algeria,2018,99,91,91,62.426086,246016,28,42008054,0.46,20560362,5961351
Algeria,2019,99,91,91,62.414135,248197,28,42679018,0.47,24726411,5946191
Algeria,2020,99,91,91,62.39411,250378,28,43333255,0.47,27331100,6154062
Argentina,2016,92,92,92,46.18997,2125386,40,43847430,0.02,30990901,10219912
Argentina,2017,95,86,86,45.91216,2164472,40,44271041,0.02,32730336,10190945
Argentina,2018,93,86,86,45.91216,2203557,40,44688864,0.02,34509360,10159593
Argentina,2019,85,83,83,45.91216,2242643,40,45101781,0.02,35751668,10130229
Argentina,2020,75,74,74,45.91216,2281728,40,45510399,0.02,38505807,10310602
Armenia,2016,99,94,94,11.46074,191029,32,2924816,1.54,1844055,713183
Armenia,2017,99,94,94,11.167684,190859,32,2930450,1.61,1846478,700560
Armenia,2018,99,92,92,10.926669,190689,32,2934152,1.44,1935814,687854
Armenia,2019,99,92,92,10.862765,190519,32,2936706,1.28,1876941,675144
Armenia,2020,99,92,91,10.829497,190349,32,2938679,1.14,2146572,725936
Austria,2016,0,87,87,99.66447,1534135,31,8712137,0,7366936,1003902
Austria,2017,0,90,90,99.663956,1585147,31,8735453,0,7736130,993491
Austria,2018,0,85,85,99.66536,1636159,31,8751820,0,7733609,983026
Austria,2019,0,85,85,99.66686,1687171,31,8766201,0,7792342,973366
Austria,2020,0,85,85,99.66847,1738183,31,8782210,0,7796929,1008643
Bahrain,2016,0,99,99,90.48992,765208,40,1425171,0.01,1381474,253314
Bahrain,2017,0,97,97,90.75822,807930,40,1492584,0.01,1396795,259470
Bahrain,2018,0,99,99,91.02621,850651,40,1566993,0.01,1467188,266997
Bahrain,2019,0,99,99,91.2939,893373,40,1637896,0.01,1489735,274853
Bahrain,2020,0,98,98,91.605515,936094,40,1697765,0.01,1472602,296965
Bangladesh,2016,99,98,98,23.917084,1560825,32,162951560,5.84,28921009,24252532
Bangladesh,2017,99,98,98,25.159554,1699471,32,164669751,4.8,32035204,23924074
Bangladesh,2018,99,98,98,26.426378,1838116,32,166368149,3.93,35683100,23576966
Bangladesh,2019,99,98,98,27.716417,1976762,32,168065920,3.2,39392860,23209809
Bangladesh,2020,99,98,98,29.028513,2115408,32,169775309,2.59,41520393,25395877
Belgium,2016,0,97,98,88.138855,1827886,28,11358379,0,9790929,1330458
Belgium,2017,0,97,98,89.80939,1872284,28,11429336,0,9981885,1319899
Belgium,2018,0,97,98,91.49167,1916683,28,11498519,0,10148878,1310501
Belgium,2019,0,97,97,93.18571,1961081,28,11562784,0,10391216,1303067
Belgium,2020,0,97,97,94.05832,2005479,28,11619972,0,10582024,1404110
Benin,2016,88,76,76,2.331724,371882,48,10872298,47.8,1632713,2621463
Benin,2017,88,76,76,2.4168139,377481,48,11175692,47.55,2168599,2617422
Benin,2018,88,76,76,2.503327,383079,48,11485674,46,2268731,2609145
Benin,2019,88,76,76,2.5912457,388678,48,11801595,44.32,2753059,2598446
Benin,2020,88,72,72,2.6805525,394276,48,12122985,42.48,3261925,2629800
Bhutan,2016,99,98,98,48.533543,51607,39,797765,1.91,313196,83931
Bhutan,2017,99,98,98,48.8231,52108,39,807610,1.65,349332,82851
Bhutan,2018,99,97,97,49.08346,52610,39,817054,1.24,377241,81701
Bhutan,2019,92,97,97,49.510582,53111,39,826229,0.85,410595,80639
Bhutan,2020,98,96,95,50.073948,53612,39,835245,0.69,413294,80037
Bosnia and Herzegovina,2016,97,69,78,47.586025,38086,34,3516816,0.01,2097521,779982
Bosnia and Herzegovina,2017,97,68,75,51.01012,37575,34,3507017,0.01,2232302,760406
Bosnia and Herzegovina,2018,95,62,73,54.55765,37064,34,3503554,0.01,2384177,742340
Bosnia and Herzegovina,2019,95,62,73,58.10518,36553,34,3501774,0.01,2350700,726621
Bosnia and Herzegovina,2020,95,62,73,61.65271,36042,34,3498210,0,2429408,767398
Brazil,2016,90,89,89,44.883984,784185,51,207652865,15.18,125920682,63626040
Brazil,2017,91,93,89,45.85642,858066,51,209288278,16.09,140680972,63150966
Brazil,2018,92,83,87,46.84473,931946,51,210867954,15.88,148029327,62673404
Brazil,2019,79,72,70,47.84931,1005827,51,212392717,15.63,156533889,62288579
Brazil,2020,67,77,77,48.706318,1079708,51,213863046,15.36,173419624,64359713
Bulgaria,2016,96,92,92,67.20134,135915,37,7131494,0.08,4334948,1687061
Bulgaria,2017,96,92,92,68.465416,148027,37,7084571,0.07,4554386,1639161
Bulgaria,2018,96,92,92,69.451866,160139,37,7036848,0.06,4610811,1594164
Bulgaria,2019,96,92,93,70.444214,172251,37,6988739,0.05,4791985,1552173
Bulgaria,2020,97,91,91,71.44247,184363,37,6940527,0.04,4896594,1600119
Burkina Faso,2016,98,91,91,8.216472,708539,35,18646433,34.08,2313060,4782486
Burkina Faso,2017,98,91,91,8.464845,712401,35,19193382,32.58,3332424,4815261
Burkina Faso,2018,98,91,91,8.704926,716264,35,19751651,30.81,3548335,4840393
Burkina Faso,2019,98,91,91,8.936718,720126,35,20321560,29.01,3771295,4854112
