Local,Ano,Previsão de Casos,Limiar Epidêmico,Taxa de Incidência (por 100k hab),Status de Epidemia
Albania,2016,694402,28369.55817824759,22735,Não em Epidemia
Albania,2017,695826,28369.55817824759,23011,Não em Epidemia
Albania,2018,696902,28369.55817824759,23295,Não em Epidemia
Albania,2019,698759,28369.55817824759,23586,Não em Epidemia
Albania,2020,701068,28369.55817824759,23842,Não em Epidemia
Albania,2021,704162,28369.55817824759,24060,Não em Epidemia
Albania,2022,704286,28369.55817824759,24119,Não em Epidemia
Albania,2023,704388,28369.55817824759,24131,Não em Epidemia
Albania,2024,704481,28369.55817824759,24120,Não em Epidemia
Albania,2025,704553,28369.55817824759,24101,Não em Epidemia
Algeria,2016,5994264,17062.034183605807,17746,Epidemia
Algeria,2017,5989600,17062.034183605807,17462,Epidemia
Algeria,2018,5984388,17062.034183605807,17167,Epidemia
Algeria,2019,5979023,17062.034183605807,16859,Não em Epidemia
Algeria,2020,5973942,17062.034183605807,16540,Não em Epidemia
Algeria,2021,5969541,17062.034183605807,16213,Não em Epidemia
Algeria,2022,5968867,17062.034183605807,15889,Não em Epidemia
Algeria,2023,5968406,17062.034183605807,15568,Não em Epidemia
Algeria,2024,5968124,17062.034183605807,15259,Não em Epidemia
Algeria,2025,5967961,17062.034183605807,14968,Não em Epidemia
Argentina,2016,10269000,25481.300974537946,25959,Epidemia
Argentina,2017,10279872,25481.300974537946,25719,Epidemia
Argentina,2018,10290986,25481.300974537946,25484,Epidemia
Argentina,2019,10303141,25481.300974537946,25253,Não em Epidemia
Argentina,2020,10317026,25481.300974537946,25027,Não em Epidemia
Argentina,2021,10335627,25481.300974537946,24811,Não em Epidemia
Argentina,2022,10354515,25481.300974537946,24597,Não em Epidemia
Argentina,2023,10376587,25481.300974537946,24393,Não em Epidemia
Argentina,2024,10403122,25481.300974537946,24204,Não em Epidemia
Argentina,2025,10436195,25481.300974537946,24037,Não em Epidemia
Armenia,2016,777230,31243.58532533359,26271,Não em Epidemia
Armenia,2017,778157,31243.58532533359,26531,Não em Epidemia
Armenia,2018,779503,31243.58532533359,26803,Não em Epidemia
Armenia,2019,783134,31243.58532533359,27111,Não em Epidemia
Armenia,2020,788712,31243.58532533359,27411,Não em Epidemia
Armenia,2021,793903,31243.58532533359,27608,Não em Epidemia
Armenia,2022,794509,31243.58532533359,27569,Não em Epidemia
Armenia,2023,795005,31243.58532533359,27475,Não em Epidemia
Armenia,2024,795398,31243.58532533359,27369,Não em Epidemia
Armenia,2025,795672,31243.58532533359,27278,Não em Epidemia
Austria,2016,1046084,13389.968615589478,12627,Não em Epidemia
Austria,2017,1046468,13389.968615589478,12590,Não em Epidemia
Austria,2018,1047503,13389.968615589478,12562,Não em Epidemia
Austria,2019,1049552,13389.968615589478,12539,Não em Epidemia
Austria,2020,1054436,13389.968615589478,12538,Não em Epidemia
Austria,2021,1059646,13389.968615589478,12526,Não em Epidemia
Austria,2022,1059401,13389.968615589478,12438,Não em Epidemia
Austria,2023,1059217,13389.968615589478,12348,Não em Epidemia
Austria,2024,1059087,13389.968615589478,12268,Não em Epidemia
Austria,2025,1059014,13389.968615589478,12203,Não em Epidemia
Bahrain,2016,254149,23748.12828575594,26518,Epidemia
Bahrain,2017,260818,23748.12828575594,25178,Epidemia
